ID,kpiName,category,currentValue,targetValue,unit,period,region,trend,achievementPercentage,lastUpdated,createdAt,modifiedAt
1,GHG Emission Reduction,Climate,18.5,30.0,%,2024-Q3,Europe,Improving,61.7,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
2,GHG Emission Reduction,Climate,14.8,30.0,%,2024-Q3,Asia Pacific,Improving,49.3,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
3,GHG Emission Reduction,Climate,16.9,30.0,%,2024-Q3,Global,Improving,56.3,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
4,Recyclable Packaging,Packaging,89.2,100.0,%,2024-Q3,Europe,Improving,89.2,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
5,Recyclable Packaging,Packaging,85.7,100.0,%,2024-Q3,Asia Pacific,Improving,85.7,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
6,Recyclable Packaging,Packaging,87.3,100.0,%,2024-Q3,Global,Improving,87.3,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
7,Recycled Content PET,Packaging,48.5,50.0,%,2024-Q3,Europe,Improving,97.0,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
8,Recycled Content PET,Packaging,26.9,50.0,%,2024-Q3,Asia Pacific,Improving,53.8,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
9,Recycled Content PET,Packaging,42.1,50.0,%,2024-Q3,Global,Improving,84.2,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
10,Collection Rate,Packaging,76.7,85.0,%,2024-Q3,Europe,Improving,90.2,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
11,Collection Rate,Packaging,53.0,70.0,%,2024-Q3,Asia Pacific,Improving,75.7,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
12,Collection Rate,Packaging,67.2,78.0,%,2024-Q3,Global,Improving,86.2,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
13,Water Use Efficiency,Operations,15.2,20.0,%,2024-Q3,Europe,Improving,76.0,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
14,Water Use Efficiency,Operations,12.8,20.0,%,2024-Q3,Asia Pacific,Improving,64.0,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
15,Water Use Efficiency,Operations,14.3,20.0,%,2024-Q3,Global,Improving,71.5,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
16,Renewable Energy,Operations,78.5,100.0,%,2024-Q3,Europe,Improving,78.5,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
17,Renewable Energy,Operations,45.2,100.0,%,2024-Q3,Asia Pacific,Improving,45.2,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
18,Renewable Energy,Operations,65.8,100.0,%,2024-Q3,Global,Improving,65.8,2024-10-15T10:30:00Z,2024-01-15T08:00:00Z,2024-10-15T10:30:00Z
