ID,supplier,region,material,sustainabilityScore,carbonIntensity,recycledContentCapability,certifications,riskLevel,contractValue,currency_code,performanceRating,createdAt,modifiedAt
1,Alpla Group,Europe,PET,8.5,0.078,65.2,"FSC Certified, ISO 14001",Low,15500000,EUR,9.2,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
2,Amcor,Asia Pacific,PET,7.8,0.089,45.3,"ISO 14001, SBTi",Medium,22000000,USD,8.7,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
3,Ball Corporation,Europe,Aluminum,9.1,0.145,78.5,"ASI Certified, ISO 50001",Low,28500000,EUR,9.5,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
4,Crown Holdings,Asia Pacific,Aluminum,8.3,0.152,68.2,"ISO 50001, TCFD",Low,31200000,USD,8.9,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
5,O-I Glass,Europe,Glass,8.7,0.198,52.4,"Cradle to Cradle, ISO 14001",Low,12800000,EUR,8.8,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
6,Vetropack,Asia Pacific,Glass,7.9,0.215,48.7,"ISO 14001, PEFC",Medium,9500000,USD,8.4,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
7,Berry Global,Europe,HDPE,8.2,0.065,42.8,"FSC Certified, ISO 14001",Low,8900000,EUR,8.6,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
8,Silgan Closures,Asia Pacific,HDPE,7.6,0.071,38.5,"ISO 14001",Medium,7200000,USD,8.1,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
9,Smurfit Kappa,Europe,Cardboard,9.3,0.042,85.6,"FSC Certified, PEFC",Low,18700000,EUR,9.4,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
10,International Paper,Asia Pacific,Cardboard,8.5,0.048,78.9,"PEFC Certified, SBTi",Low,14300000,USD,8.8,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
11,Plastipak,Europe,PET,8.4,0.082,58.7,"ISO 14001, GRS",Low,16800000,EUR,8.9,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
12,Yoshino,Asia Pacific,PET,7.7,0.089,41.2,"FSC Certified",Medium,19500000,USD,8.3,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
13,Rexam,Europe,Aluminum,9.0,0.148,76.8,"ASI Certified, SBTi",Low,26900000,EUR,9.3,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
14,CCL Container,Asia Pacific,Aluminum,8.1,0.159,64.5,"ISO 50001",Medium,24600000,USD,8.5,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
15,Avantium,Europe,BioPET,7.2,0.065,25.8,"Cradle to Cradle",High,3200000,EUR,7.8,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
16,NatureWorks,Asia Pacific,BioPET,7.5,0.068,28.4,"ISO 14001",High,2800000,USD,8.0,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
17,Indorama Ventures,Europe,rPET,9.2,0.078,95.5,"GRS Certified, SBTi",Low,21500000,EUR,9.1,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
18,Far Eastern New Century,Asia Pacific,rPET,8.8,0.085,89.2,"GRS Certified",Low,18900000,USD,8.9,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
19,Huhtamaki,Europe,Plant Fiber,9.4,0.032,100.0,"FSC Certified, Cradle to Cradle",Low,11200000,EUR,9.6,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
20,Dart Container,Asia Pacific,Plant Fiber,8.9,0.035,100.0,"PEFC Certified",Low,8700000,USD,9.1,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
21,Sonoco,Europe,Steel,8.6,0.198,68.4,"ISO 14001, TCFD",Low,6800000,EUR,8.7,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
22,Crown Holdings,Asia Pacific,Steel,8.3,0.205,54.2,"ISO 50001",Medium,5400000,USD,8.4,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
23,Multi-Color Corporation,Europe,PP,7.8,0.058,42.1,"FSC Certified",Medium,4500000,EUR,8.2,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
24,CCL Industries,Asia Pacific,PP,7.5,0.062,35.8,"ISO 14001",Medium,3900000,USD,7.9,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
25,Novolex,Europe,Compostable Plastic,6.8,0.089,0.0,"BPI Certified",High,1200000,EUR,7.2,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
26,Tetra Pak,Europe,Carton,9.1,0.045,78.5,"FSC Certified, ISO 14001",Low,32500000,EUR,9.3,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
27,SIG Combibloc,Asia Pacific,Carton,8.7,0.048,72.3,"PEFC Certified, SBTi",Low,28900000,USD,8.8,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
28,Krones,Europe,Machinery,8.4,0.125,35.6,"ISO 14001, ISO 50001",Medium,45600000,EUR,8.9,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
29,Sidel,Asia Pacific,Machinery,8.1,0.132,32.4,"ISO 14001",Medium,38700000,USD,8.6,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
30,KHS Group,Europe,Machinery,8.3,0.128,34.8,"ISO 50001, TCFD",Medium,41200000,EUR,8.7,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z
